                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.48529,                0.49404,                 1.0428,                0.97329,                0.96296,                0.99091,                 0.8814,                0.51987,                0.38211,                0.96847,               0.000467,               0.000467,               0.000467
                     37,                0.41924,                0.41599,                0.94746,                0.98539,                0.96608,                0.99026,                0.90824,                0.50325,                0.38775,                0.96408,              0.0004387,              0.0004387,              0.0004387
                     38,                0.46545,                0.53107,                0.98172,                0.99031,                0.96602,                0.99155,                0.89935,                0.45142,                0.36453,                0.93572,             0.00041041,             0.00041041,             0.00041041
                     39,                0.46479,                0.45342,                0.98363,                0.98473,                0.97757,                0.99237,                  0.901,                0.44487,                0.32322,                0.93925,             0.00038211,             0.00038211,             0.00038211
                     40,                0.39182,                0.36313,                0.93976,                0.98594,                0.98311,                0.99296,                0.92104,                0.43189,                0.31407,                0.92672,             0.00035382,             0.00035382,             0.00035382
                     41,                0.34474,                0.39586,                0.90102,                 0.9782,                 0.9725,                0.98987,                0.91856,                0.45071,                 0.3407,                0.93353,             0.00032553,             0.00032553,             0.00032553
                     42,                 0.3544,                0.50929,                0.94611,                 0.9839,                0.95659,                0.98697,                0.88221,                0.44764,                0.39083,                0.93986,             0.00029723,             0.00029723,             0.00029723
                     43,                0.30808,                0.36011,                0.88013,                0.99036,                0.96337,                0.98776,                0.92105,                0.43422,                0.37063,                0.91906,             0.00026894,             0.00026894,             0.00026894
                     44,                0.31657,                0.31733,                0.89998,                0.99184,                0.97037,                0.98733,                0.94473,                0.44935,                0.34274,                0.93568,             0.00024064,             0.00024064,             0.00024064
                     45,                0.33019,                0.32975,                0.89952,                0.98128,                0.97135,                0.99029,                0.91712,                0.49243,                0.32708,                0.99263,             0.00021235,             0.00021235,             0.00021235
                     46,                 0.2913,                0.95527,                0.89448,                0.98006,                0.97778,                0.99241,                 0.9334,                0.43834,                0.31683,                 0.9267,             0.00018406,             0.00018406,             0.00018406
                     47,                0.31976,                  0.355,                0.89524,                0.97982,                0.98284,                0.99444,                0.93495,                0.42563,                0.30428,                  0.914,             0.00015576,             0.00015576,             0.00015576
                     48,                0.29565,                 0.2881,                0.86428,                0.97351,                0.98269,                0.99486,                0.94106,                0.41371,                0.30701,                0.90442,             0.00012747,             0.00012747,             0.00012747
                     49,                0.32192,                0.39424,                 0.9586,                   0.98,                 0.9801,                0.99378,                0.94925,                 0.4112,                 0.3156,                0.90407,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 0.2791,                0.28697,                0.87493,                0.98395,                0.97853,                0.99366,                0.94278,                0.39534,                0.30806,                0.89264,             7.0878e-05,             7.0878e-05,             7.0878e-05
