                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.46446,                0.49777,                0.97765,                0.84748,                0.86902,                 0.9321,                0.82188,                0.57038,                0.64148,                 1.0782,             0.00048475,             0.00048475,             0.00048475
                     37,                0.47273,                0.52212,                0.98042,                 0.8996,                0.81045,                0.91051,                0.73815,                0.61887,                0.72742,                 1.1442,             0.00048062,             0.00048062,             0.00048062
                     38,                0.46679,                  0.519,                0.97596,                0.82706,                0.72425,                0.82747,                0.70874,                0.57965,                0.64825,                 1.0631,              0.0004765,              0.0004765,              0.0004765
                     39,                0.44886,                0.50692,                0.96762,                0.87631,                0.86084,                0.91293,                0.79251,                 0.5595,                0.62107,                 1.0665,             0.00047237,             0.00047237,             0.00047237
                     40,                 0.4476,                 0.4969,                0.95837,                0.87657,                0.73098,                0.84565,                0.72965,                0.55597,                0.71733,                 1.0873,             0.00046825,             0.00046825,             0.00046825
                     41,                0.45142,                0.48848,                0.96125,                0.84747,                0.75177,                0.80107,                 0.7029,                0.55078,                0.70921,                 1.0902,             0.00046413,             0.00046413,             0.00046413
                     42,                0.43583,                0.47841,                0.95197,                0.91856,                0.88819,                  0.945,                0.85596,                0.48704,                 0.4914,                 1.0112,                0.00046,                0.00046,                0.00046
                     43,                0.44893,                0.47858,                0.96714,                0.82983,                0.92074,                0.93728,                0.83214,                0.50032,                0.64862,                 1.0157,             0.00045588,             0.00045588,             0.00045588
                     44,                 0.4606,                0.51532,                0.98772,                0.90405,                0.84889,                0.91676,                0.75227,                0.57264,                0.62735,                 1.0735,             0.00045175,             0.00045175,             0.00045175
                     45,                 0.4281,                0.45746,                0.95004,                0.93425,                0.80607,                0.87536,                 0.7463,                0.55535,                0.55985,                 1.0559,             0.00044763,             0.00044763,             0.00044763
                     46,                0.43486,                0.45969,                0.95731,                0.82533,                0.91453,                0.95001,                0.79461,                0.55161,                0.59276,                 1.0861,              0.0004435,              0.0004435,              0.0004435
